API_UWI,Unformatted_API_UWI,API_UWI_12,Unformatted_API_UWI_12,API_UWI_14,Unformatted_API_UWI_14,WellID,CompletionID,WellPadID,WellPadDirection,ENVWellGrouping,CompletionNumber,WellName,Country,StateProvince,County,Lease,LeaseName,ENVOperator,RawOperator,InitialOperator,ENVTicker,ENV_Peer_Group,ENVCompanyType,ENV_Stock_Exchange,ENVWellServiceProvider,ENVProdWellType,StateWellType,ENVWellType,ENVProducingMethod,ENVRegion,ENVBasin,ENVPlay,ENVSubPlay,ENVInterval,ENVIntervalSource,ENVWellStatus,ENVWellboreStatus,OnConfidential,OffConfidentialDate,Trajectory,ENVWellboreType,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,District,Field,Survey,Block,Abstract,Platform,Section,Township,Range,Section_Township_Range,Unit_Name,WellNumber,SurfaceLatitudeLongitudeSource,PlugDate,PlugbackMeasuredDepth_FT,PlugbackTrueVerticalDepth_FT,AvgBreakdownPressure_PSI,AvgClusterSpacingPerStage_FT,AvgClusterSpacing_FT,AvgFracGradient_PSIPerFT,AvgISIP_PSI,AvgMillTime_Min,AvgPortSleeveOpeningPressure_PSI,AvgShotsPerCluster,AvgShotsPerFt,AvgTreatmentPressure_PSI,AvgTreatmentRate_BBLPerMin,"ClustersPer1,000Ft",ClustersPerStage,"ShotsPer1,000Ft",ShotsPerStage,TotalShots,AvgFluidPerCluster_BBL,AvgFluidPerShot_BBL,AvgFluidPerStage_BBL,FracRigOnsiteDate,FracRigReleaseDate,AvgProppantPerCluster_LBS,AvgProppantPerShot_LBS,AvgProppantPerStage_LBS,StimulatedStages,TotalClusters,Vintage,FirstProdQuarter,FirstProdMonth,ENVElevationKB_FT,ENVElevationKBSource,ENVElevationGL_FT,ENVElevationGLSource,ElevationKB_FT,ElevationGL_FT,CoordinateSource,PermitApprovedDate,PermitSubmittedDate,SpudDate,DrillingEndDate,RigReleaseDate,CompletionDate,FirstRigDay,ENVCompInsertedDate,StateFileNumber,ENVFracJobType,ENVFluidType,CompletionTime_DAYS,CompletionDesign,PermitToSpud_DAYS,SpudToRigRelease_DAYS,SpudToCompletion_DAYS,SpudToSales_DAYS,SoakTime_DAYS,NumberOfStrings,UpperPerf_FT,LowerPerf_FT,PerfInterval_FT,LateralLength_FT,FracStages,AverageStageSpacing_FT,ENVProppantBrand,ProppantLoading_LBSPerGAL,ENVProppantType,ProppantIntensity_LBSPerFT,Proppant_LBS,TotalWaterPumped_GAL,WaterIntensity_GALPerFT,TotalFluidPumped_BBL,FluidIntensity_BBLPerFT,AcidVolume_BBL,Bottom_Hole_Temp_DEGF,Biocide_LBS,Breaker_LBS,Buffer_LBS,ClayControl_LBS,CrossLinker_LBS,FrictionReducer_LBS,GellingAgent_LBS,IronControl_LBS,ScaleInhibitor_LBS,Surfactant_LBS,Energizer_LBS,Diverter_LBS,TestDate,ChokeSize_64IN,TestRate_BOEPerDAY,TestRate_BOEPerDAYPer1000FT,TestRate_MCFEPerDAY,OilTestRate_BBLPerDAY,OilTestRate_BBLPerDAYPer1000FT,GasTestRate_MCFPerDAY,GasTestRate_MCFPerDAYPer1000FT,WaterTestRate_BBLPerDAY,WaterTestRate_BBLPerDAYPer1000Ft,WaterDepth,TestWHLiquids_PCT,CasingPressure_PSI,FlowingTubingPressure_PSI,ShutInPressure_PSI,OilProdPriorTest_BBL,OilTestMethodName,OilGravity_API,GasGravity_SG,First3MonthProd_BOE,First3MonthProd_BOEPer1000FT,First3MonthGas_MCF,First3MonthGas_MCFPer1000FT,First3MonthProd_MCFE,First3MonthProd_MCFEPer1000FT,First3MonthOil_BBL,First3MonthOil_BBLPer1000FT,First3MonthWater_BBL,First6MonthProd_BOE,First6MonthProd_BOEPer1000FT,First6MonthGas_MCF,First6MonthGas_MCFPer1000FT,First6MonthProd_MCFE,First6MonthProd_MCFEPer1000FT,First6MonthOil_BBL,First6MonthOil_BBLPer1000FT,First6MonthWater_BBL,First9MonthProd_BOE,First9MonthProd_BOEPer1000FT,First9MonthGas_MCF,First9MonthGas_MCFPer1000FT,First9MonthProd_MCFE,First9MonthProd_MCFEPer1000FT,First9MonthOil_BBL,First9MonthOil_BBLPer1000FT,First9MonthWater_BBL,First12MonthProd_BOE,First12MonthProd_BOEPer1000FT,First12MonthGas_MCF,First12MonthGas_MCFPer1000FT,First12MonthProd_MCFE,First12MonthProd_MCFEPer1000FT,First12MonthOil_BBL,First12MonthOil_BBLPer1000FT,First12MonthWater_BBL,First36MonthProd_BOE,First36MonthProd_BOEPer1000FT,First36MonthGas_MCF,First36MonthGas_MCFPer1000FT,First36MonthProd_MCFE,First36MonthProd_MCFEPer1000FT,First36MonthOil_BBL,First36MonthOil_BBLPer1000FT,First36MonthWater_BBL,First36MonthWaterProductionBBLPer1000Ft,PeakProductionDate,MonthsToPeakProduction,PeakProd_BOE,PeakProd_BOEPer1000FT,PeakGas_MCF,PeakGas_MCFPer1000FT,PeakProd_MCFE,PeakProd_MCFEPer1000FT,PeakOil_BBL,PeakOil_BBLPer1000FT,PeakWater_BBL,CumProd_BOE,CumProd_BOEPer1000FT,CumGas_MCF,CumGas_MCFPer1000FT,CumProd_MCFE,CumProd_MCFEPer1000FT,CumOil_BBL,CumOil_BBLPer1000FT,CumWater_BBL,TotalProducingMonths,LastProducingMonth,LastMonthLiquidsProduction_BBL,LastMonthGasProduction_MCF,LastMonthWaterProduction_BBL,Last12MonthBOEProduction,Last12MonthGasProduction_MCF,Last12MonthOilProduction_BBL,Last12MonthWaterProduction_BBL,WHLiquids_PCT,GOR_ScfPerBbl,CumulativeSOR,Last3MonthISOR,TopOfZone_FT,BottomOfZone_FT,SubseaTopDepth_FT,SubseaBaseDepth_FT,Isopach_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,InjectorWellClass,SpudDateSource,TestRate_MCFEPerDAYPer1000FT,FirstProdYear
42-389-39612,4238939612,42-389-39612-00,423893961200,42-389-39612-00-00,42389396120000,840420019351248,840421006988285,42-389-39610,W,,1,VERANCIA 50-26-27 UNIT 2 WA 21H,US,TX,REEVES,55229,VERANCIA 50-26-27 UNIT 2 WA,VITAL ENERGY,VITAL ENERGY  INC.,"FORGE ENERGY OPERATING, LLC",VTLE,SMALL CAP,PUBLIC,NYSE,CUDD,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,2ND BONE SPRING,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,TREND AREA,2021-11-01,31.242230,-103.289061,31.243283,-103.321779,9336,19580,08,WOLFBONE,T&P RR CO,50,3918,,26,7S,,,VERANCIA 50-26-27 UNIT 2 WA,21H,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,2021-Q4,2021 / 11,2760,ACTUAL,2737,ACTUAL,2760,2737,ACTUAL,2021-09-10,2021-09-09,2021-10-07,2021-11-18,2021-11-18,2021-11-18,2021-11-04,2022-08-17,,SLICKWATER HC,FRESH WATER,28,,27,42,42,40,13,3,9570,19292,9722,9880,,,,0.90,SAND ONLY,2373,23069720,25514496,2624,607488,62,2531,,71435,6636,,644514,,327017,,2628,50039,,,,2022-05-27,32,1100,113,6599,946,97,923,95,4048,416,,86,1663,,,9460,PUMPING,41.00,,6726,692,8343,858,40356,4151,5335,549,48394,13843,1424,18784,1932,83056,8543,10712,1102,112964,52468,5397,56485,5810,314806,32381,43054,4428,371768,93812,9649,106856,10991,562871,57897,76003,7818,642912,,,,,,,,,,,2022-06-01,8,28088,2889,26570,2733,168526,17334,23729,2441,184849,330977,34044,334344,34390,1985861,204265,275253,28312,2453510,35,2024-09-01,6863,6327,69090,100578,85987,86247,829566,83,1215,,,9314,9582,-6571,-6838,268,69.18,2.52,195.01,0.111,0.089,0.19,0.72,0.22,23.73,0.069,18.4,3.07,,Reported,679,2021
42-389-34221,4238934221,42-389-34221-90,423893422190,42-389-34221-90-00,42389342219000,840420000645887,840421006903763,42-389-34221,S,,,MAMBA 17 2H,US,TX,REEVES,42649,MAMBA 17,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,PATRIOT RESOURCES,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,,OIL (40%+ WH LIQUIDS),OIL,OIL,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,UNREPORTED,,,VERTICAL,PILOT,TREND AREA,2014-07-01,31.231408,-103.191094,31.231472,-103.191144,11624,11624,08,WOLFBONE,PSL,C1,4538,,08,,,,MAMBA 17,2H,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,2014-Q3,2014 / 07,2708,ACTUAL,2685,ACTUAL,2708,2685,ACTUAL,2014-04-30,2014-03-20,2014-05-27,,2014-07-14,,,,,,,,,27,48,,50,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,2014
42-389-34221,4238934221,42-389-34221-00,423893422100,42-389-34221-00-00,42389342210000,840420000645887,840421002144552,42-389-34221,S,,1,MAMBA 17 2H,US,TX,REEVES,42649,MAMBA 17,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,PATRIOT RESOURCES,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,HALLIBURTON,OIL (40%+ WH LIQUIDS),OIL,OIL,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP A LOWER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,LATERAL,TREND AREA,2014-07-01,31.231408,-103.191094,31.215793,-103.191234,10772,16263,08,WOLFBONE,PSL,C1,4538,,08,,,,MAMBA 17,2H,REPORTED,,16262,10657,,,,,,,,,,,,,,,,,,,379855,,,,,10590250,,,2014,2014-Q3,2014 / 07,2708,ACTUAL,2685,ACTUAL,2708,2685,ACTUAL,2014-04-30,2014-03-20,2014-05-27,2014-07-14,2014-07-14,2014-08-27,,2021-06-15,,SLICKWATER HC,UNKNOWN,11,,27,48,92,50,15,3,11180,16262,5082,5324,,,,0.66,SAND + RESIN,2084,10590250,15953910,3139,379855,75,701,,23750,0,0,,,6780,3003,,,0,,,2014-09-11,,1590,313,9540,1356,267,1404,276,3204,630,,85,,,,,PUMPING,40.00,,37726,7423,30980,6096,226356,44541,32563,6407,96312,94675,18630,83000,16332,568052,111777,80842,15908,336469,119740,23562,101239,19921,718441,141370,102867,20241,445430,136724,26904,114600,22550,820345,161422,117624,23145,517994,242076,47634,246035,48413,1452454,285804,201070,39565,920320,181094,2014-09-01,3,36416,7166,30086,5920,218498,42994,31402,6179,99249,334950,65909,327752,64493,2009702,395455,280325,55160,1268587,122,2024-08-01,954,555,3819,12283,7528,11029,44627,84,1169,,,10714,10874,-7997,-8158,159,76.09,2.54,115.29,0.097,0.077,0.20,0.73,0.34,12.28,0.061,9.7,2.89,,Reported,1877,2014
42-389-30387,4238930387,42-389-30387-00,423893038700,42-389-30387-00-00,42389303870000,840420002864027,840421002976883,42-389-30387,,,1,LADD-R. L. BURNS REGAN TRUST 1,US,TX,REEVES,073135,LADD-R. L. BURNS REGAN TRUST,LADD PETROLEUM CO,LADD PETROLEUM CORP.,LADD PETROLEUM CORP.,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,,DRY GAS (0-1% WH LIQUIDS),GAS,GAS,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,P & A,P & A,,,VERTICAL,SINGLE BORE,ATOKA,1976-10-01,31.152531,-103.230811,31.152531,-103.230811,21650,21650,08,"ROJO CABALLOS, W.",T&P RR CO,49,4602,,16,8S,,,,1,REPORTED,1978-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,*Pre-2010,*Pre-2010,2762,ACTUAL,2749,ACTUAL,2762,2749,,1977-06-30,1977-06-30,,,,1975-12-14,,2023-12-08,,,,,,,,,,,4,21060,21544,484,,,,,,,,,,,,,,,,,,,,,,,,,,,1977-09-17,,13,,80,,,80,,,,,,,933,6102,,,,,10871,,65224,,65224,,0,,0,,,,,,,,,,,,,,,,,,,12432,,74592,,74592,,0,,0,,,,,,,,,,,1976-11-01,2,5283,,31699,,31699,,0,,0,14333,,85996,,85996,,0,,0,16,1978-01-01,0,1196,0,3462,20772,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,*Pre-2010
42-371-39608,4237139608,42-371-39608-00,423713960800,42-371-39608-00-00,42371396080000,840420004668096,840421006218087,42-371-39608,,,1,TARPON 14 1SW,US,TX,PECOS,,TARPON 14,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,"PRI OPERATING, LLC",OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,,,SWD,SWD,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INJECTING,INJECTING,,,VERTICAL,SINGLE BORE,DELAWARE,,31.228500,-103.140395,31.228496,-103.140356,7489,7490,08,ROJO CABALLOS,PSL,C2,8415,,14,,,,,1SW,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2643,ACTUAL,2631,ACTUAL,2643,2631,ACTUAL,2017-08-29,2017-08-22,2018-12-10,2018-12-24,2018-12-24,2018-12-24,2018-12-08,2023-12-08,,,,,,468,14,14,,,2,5559,7490,1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II,Reported,,
42-389-39664,4238939664,42-389-39664-00,423893966400,42-389-39664-00-00,42389396640000,840420019353486,840421007057671,,,,,VIPER 14N33 33H,US,TX,REEVES,,VIPER 14N33,VITOL,"PRI OPERATING, LLC","PRI OPERATING, LLC",VITOL*,NON-PE-BACKED PRIVATE,PRIVATE,,,,OIL & GAS,OIL & GAS,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,3RD BONE SPRING SAND,ENV INTERPRETED,PERMIT EXPIRED,PERMIT EXPIRED,,,HORIZONTAL,SINGLE BORE,BONE SPRING,,31.217247,-103.240145,31.244590,-103.240134,10500,,08,SANDBAR,PSL,C1,4545,,14,,,,,33H,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2746,ACTUAL,2726,ACTUAL,2746,2726,,2021-10-29,2021-10-20,,,,,,,,,,,,,,,,,,,,,9725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10319,10673,-7589,-7796,217,84.34,2.57,63.31,0.079,0.061,0.23,0.71,0.15,13.17,0.061,13.3,2.79,,,,
42-389-33742,4238933742,42-389-33742-00,423893374200,42-389-33742-00-00,42389337420000,840420000644972,840421002923138,42-389-33742,,,1,GIRAFFE 18 2SW,US,TX,REEVES,44474,GIRAFFE 18,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,PATRIOT RESOURCES,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,NOT REPORTED,OIL (40%+ WH LIQUIDS),SWD,SWD,PUMPING,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INJECTING,INJECTING,,,VERTICAL,SINGLE BORE,RAMSEY SAND,2013-07-01,31.220951,-103.181032,31.221052,-103.180931,7256,7257,08,CABLE,PSL,C1,1240,,18,,,,GIRAFFE 18,2SW,REPORTED,2015-10-09,,7317,,,,,,,,,,,,,,,,,,,119,,,,,,,,2013,2013-Q3,2013 / 07,2722,ACTUAL,2705,ACTUAL,2722,2705,ACTUAL,2013-04-19,2013-04-16,2013-04-29,2013-05-12,2013-05-12,2013-06-13,,2022-12-06,,CROSSLINK,FRESH WATER,1,,10,13,45,78,,3,6610,6642,32,,1,,SUPER LC/OPTIPROP,1.51,SAND + RESIN,2581,82597,54600,1706,1300,41,,,227,254,,480,499,,2404,,81,,,,2013-06-30,64,16,,97,12,,25,,190,,,74,10,,,,PUMPING,34.00,,587,,513,,3519,,501,,9743,1663,,3104,,9980,,1146,,26491,2248,,4641,,13485,,1474,,37164,2596,,5529,,15573,,1674,,44513,,,,,,,,,,,2013-11-01,5,483,,1257,,2899,,297,,7688,2816,,5881,,16897,,1836,,44513,23,2015-05-01,1,0,0,250,507,165,114,65,3203,,,,,,,,,,,,,,,,,,,,II,Reported,,2013
42-389-33742,4238933742,42-389-33742-00,423893374200,42-389-33742-00-01,42389337420001,840420000644972,840421006798985,42-389-33742,,,2,GIRAFFE 18 2SW,US,TX,REEVES,44474,GIRAFFE 18,VTX ENERGY OPERATING LLC,VTX ENERGY OPERATING  LLC,PATRIOT RESOURCES,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,CUDD,OIL (40%+ WH LIQUIDS),SWD,SWD,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INJECTING,INJECTING,,,VERTICAL,SINGLE BORE,RAMSEY SAND,2013-07-01,31.220951,-103.181032,31.221052,-103.180931,7256,7257,08,CABLE,PSL,C1,1240,,18,,,,GIRAFFE 18,2SW,REPORTED,2015-10-09,,7317,,,,,,,,,,,,,,,,,,,10381,,,,,477197,,,2013,2013-Q3,2013 / 07,2722,ACTUAL,2705,ACTUAL,2722,2705,ACTUAL,2013-04-19,2013-04-16,2013-04-29,2013-05-12,2013-05-12,2016-01-25,,2020-10-31,,HYBRID CROSSLINKER/LINEAR GEL HC,FRESH WATER,1,,10,13,1001,78,,3,5272,6827,1555,,1,,,1.09,SAND ONLY,307,477197,436002,280,10381,7,197,,,1913,55,1079,1963,1438,7954,1000,,,,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II,Reported,,2013
42-371-31600,4237131600,42-371-31600-00,423713160000,42-371-31600-00-00,42371316000000,840420002867935,840421002574708,42-371-31600,,,1,"WEATHERBY, IVY B. ""A"" 1",US,TX,PECOS,069057,"WEATHERBY, IVY B. ""A""",CHEVRON,CHEVRON U. S. A. INC.,CHEVRON,CVX,MAJOR,PUBLIC,NYSE,,DRY GAS (0-1% WH LIQUIDS),GAS,GAS,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,P & A,P & A,,,VERTICAL,SINGLE BORE,ELLENBURGER,1976-10-01,31.124858,-103.189853,31.124858,-103.189853,21570,21570,08,"ROJO CABALLOS, SOUTH",T&P RR CO,49,8478,,26,8S,,,"Ivy B. Weatherby ""A""",1,REPORTED,2022-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,*Pre-2010,*Pre-2010,2781,ACTUAL,2767,ACTUAL,2781,2767,,,,1976-02-08,,,1976-10-07,,2016-04-03,,,,,,,,242,251,,2,20722,21518,796,,,,,,,,,,,,,,,,,,,,,,,,,,,1978-02-22,,867,,5200,,,5200,,36,,,,,1213,2313,,,,,,,,,,,,,,56172,,337029,,337029,,0,,0,138096,,828578,,828578,,0,,0,216304,,1297823,,1297823,,0,,0,804393,,4826355,,4826355,,0,,0,,1977-02-01,6,28923,,173539,,173539,,0,,11847,2476501,,14859007,,14859007,,0,,172490,415,2011-04-01,0,4,0,48,286,0,0,0,,,,,,,,,,,,,,,,,,,,,,Reported,,*Pre-2010
42-389-01018,4238901018,42-389-01018-00,423890101800,42-389-01018-00-00,42389010180000,840420003198235,840421001441196,42-389-01018,,,1,REEVES -O- FEE 5W,US,TX,REEVES,15814,REEVES -O- FEE,CHEVRON,CHEVRON U. S. A. INC.,CHEVRON,CVX,MAJOR,PUBLIC,NYSE,,OIL (40%+ WH LIQUIDS),SWD,SWD,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INACTIVE INJECTOR,INACTIVE INJECTOR,,,VERTICAL,SINGLE BORE,BELL CANYON,1961-11-01,31.180337,-103.349394,31.180337,-103.349394,5231,5231,08,TORO,T&P RR CO,50,712,,05,8S,,,,5W,REPORTED,,5198,5198,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,*Pre-2010,*Pre-2010,2781,ACTUAL,2767,ACTUAL,2781,2767,,,,1961-11-10,,,1961-12-01,,,,,,,,,,21,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4330,,0,,25979,,4330,,0,7886,,0,,47319,,7886,,0,11311,,0,,67869,,11311,,0,14392,,0,,86352,,14392,,0,26921,,0,,161528,,26921,,0,,1961-12-01,2,1930,,4,,11580,,1930,,0,32410,,54,,194462,,32401,,0,157,1974-11-01,0,0,0,0,0,0,0,100,2,,,,,,,,,,,,,,,,,,,,II,Reported,,*Pre-2010
42-389-01018,4238901018,42-389-01018-00,423890101800,42-389-01018-00-01,42389010180001,840420003198235,840421007079735,42-389-01018,,,2,REEVES -O- FEE 5W,US,TX,REEVES,15814,REEVES -O- FEE,CHEVRON,CHEVRON U. S. A. INC.,CHEVRON,CVX,MAJOR,PUBLIC,NYSE,,OIL (40%+ WH LIQUIDS),SWD,SWD,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,INACTIVE INJECTOR,INACTIVE INJECTOR,,,VERTICAL,SINGLE BORE,BELL CANYON,1961-11-01,31.180337,-103.349394,31.180337,-103.349394,5231,5231,08,TORO,T&P RR CO,50,712,,05,8S,,,,5W,REPORTED,,5198,5198,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,*Pre-2010,*Pre-2010,2781,ACTUAL,2767,ACTUAL,2781,2767,,,,1961-11-10,,,1997-03-04,,2022-02-10,,,,,,,,12898,6,,2,5137,5166,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II,Reported,,*Pre-2010
42-371-40319,4237140319,42-371-40319-00,423714031900,42-371-40319-00-00,42371403190000,840420005604083,840421006975618,,,,,MCILVAIN DEEP 2,US,TX,PECOS,,MCILVAIN DEEP,MCCLURE OIL COMPANY,"MCCLURE OIL COMPANY, INC.",MC CLURE OIL,OTHER,NON-PE-BACKED PRIVATE,PRIVATE,,,,OIL & GAS,OIL & GAS,,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,DELAWARE VERTICAL,ENV INTERPRETED,PERMIT EXPIRED,PERMIT EXPIRED,,,VERTICAL,SINGLE BORE,,,31.192736,-103.133656,31.192736,-103.133656,12000,,08,WILDCAT,PSL,C2,8443,,27,,,,,2,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,ACTUAL,2687,ACTUAL,2700,2687,,2021-06-15,2021-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-389-34808,4238934808,42-389-34808-00,423893480800,42-389-34808-00-00,42389348080000,840420000646052,840421002172829,42-389-34808,W,,1,IRON MIKE 40NW 3H,US,TX,REEVES,47585,IRON MIKE 40NW,VITAL ENERGY,VITAL ENERGY  INC.,J CLEO THOMPSON,VTLE,SMALL CAP,PUBLIC,NYSE,,OIL (40%+ WH LIQUIDS),OIL,OIL,GAS LIFT,PERMIAN,DELAWARE,DELAWARE,DELAWARE SOUTH OIL,WOLFCAMP B UPPER,ENV INTERPRETED,PRODUCING,PRODUCING,,,HORIZONTAL,SINGLE BORE,TREND AREA,2016-02-01,31.096359,-103.330597,31.097332,-103.355433,10663,18194,08,WOLFBONE,T&P RR CO,50,4755,,40,8S,,,IRON MIKE 40NW,3H,REPORTED,,,,,,,,,,,,,,,,,,,,,,,,,,,700000,,,2016,2016-Q1,2016 / 02,2856,ACTUAL,2830,ACTUAL,2856,2830,ACTUAL,2015-03-20,2015-03-13,2015-05-25,2015-11-07,2015-11-07,2016-02-19,2015-06-21,2023-12-08,,,,,,66,166,270,267,42,3,10723,18101,7378,7181,,,,,SAND ONLY,2520,18594700,,,,,,,,,,,,,,,,,,,2016-04-01,36,932,126,5592,836,113,576,78,5926,803,,90,2010,,,25160,GAS LIFT,42.00,,63203,8566,50077,6787,379219,51399,54857,7435,486081,147296,19964,198886,26957,883774,119785,114148,15471,1056124,208474,28256,321644,43595,1250846,169537,154867,20990,1565364,258960,35099,432299,58593,1553759,210594,186910,25333,1979856,488752,66244,992026,134457,2932510,397467,323414,43835,3906970,529543,2016-05-01,4,31502,4270,55262,7490,189012,25618,23647,3205,190657,733325,99393,1881996,255082,4399950,596361,419659,56880,5770736,104,2024-09-01,585,14061,14877,38683,167429,10778,262625,57,4485,,,10594,10754,-7748,-7907,160,75.33,2.51,31.49,0.133,0.106,0.21,0.68,0.33,16.90,0.062,9.9,3.74,,Reported,758,2016
